ID,Name,Weight,Effect,Quality,Price,Unlock,Description
100,瞄准镜,85,1000,1,5,1,瞄准线可以显示反弹的路线了
101,砰砰砰！,65,1001,3,24,0,每当弹珠连续击中相同类型的宝石时，伤害提高1倍
102,曲奇饼干,30,1002,4,65,1,每拥有2枚碎片，高级弹珠的伤害就增加1点
103,三明治,25,1003,4,50,1,场上每存在一颗三角宝石，所有弹珠的伤害提高0.2倍
104,银行卡,40,1004,2,25,1,结算时，场上每颗圆形宝石可转化成1枚<sprite=1>
105,幸运筹码,60,1005,3,26,1,合成弹珠花费的<sprite=0>数量-1
106,强力弹簧,80,1006,1,5,1,每次击中方形宝石，弹珠的弹力临时提高
107,战争号角,35,1007,4,43,0,所有弹珠的基础伤害提高1点
108,照明头盔,75,1008,2,20,1,击中碎片时有概率额外获得一枚。
109,积分卡,80,1009,1,12,1,之后的第#次碰撞，弹珠造成的伤害x4
110,玻璃碎片,40,1010,3,46,1,每拥有2枚碎片，普通弹珠的伤害就增加1点
111,弹珠袋,70,1011,1,20,1,可以额外携带一颗弹珠
112,重型铁锤,50,1012,3,35,0,拥有的弹珠越少，弹珠造成的伤害倍率越高(当前：X5)
113,真皮钱包,60,1013,3,35,1,每拥有50金币，弹珠的伤害提高1点(当前：2)
114,注射器,75,1014,1,8,1,击中#次菱形宝石后，下一次弹珠撞击造成的伤害X2
115,八音盒,0,1015,2,20,0,"击中宝石播放不同的音效，不同的音效对应不同的效果(do:造成正常伤害,re:获得一枚碎片,mi:造成双倍伤害,fa:直接销毁护盾,so:获得1枚金币,la:没有效果,xi:宝石恢复血量)"
116,金属外壳,50,1016,2,25,1,发射的弹珠有小概率会被再次回收。
117,小刀,50,1017,2,33,1,弹珠可能发生暴击，造成的伤害X2
118,吸铁石,75,1018,2,14,1,撞击墙面也可以获得分数
119,智慧拼图,60,1019,2,15,0,每击落#枚碎片时可产生一颗炸弹
120,手榴弹,60,1020,2,18,1,击中炸弹时有概率直接引爆
121,沙漏,80,1021,2,16,1,弹珠每次击中宝石立即获得1点积分
122,指南针,70,1022,1,8,1,撞击墙壁时总能朝高处反弹
123,木质弹弓,70,1023,1,6,1,撞击墙壁时反弹的更远
124,时空怀表,65,1024,3,25,1,弹珠飞行时间越长，造成的伤害越高
125,TNT,65,1025,1,10,1,炸弹有概率造成双倍伤害
126,遥控开关,70,1026,1,13,1,炸弹的爆炸范围提高20%
127,小丑面具,80,1027,1,8,1,击落碎片时在原地留下一颗宝石
128,放大镜,70,1028,1,10,1,场上出现炸弹的概率提高。
129,洛阳铲,80,1029,1,6,1,场上将出现更多的宝石
130,天启钥匙,0,1030,1,8,1,每次观看广告，有概率获得2金币或1碎片
131,摇钱树,80,1031,1,6,1,回合结束时获得1金币
132,打火机,55,1032,2,24,1,弹珠发射时，有概率临时提高1点伤害
133,神秘礼物,65,1033,2,18,0,结算时获得双倍的金币，但场上不会再出现碎片
134,对讲机,35,1034,4,50,1,每刷新一次弹珠列表，使弹珠的伤害倍率提高0.1倍
135,加长弹夹,55,1035,3,22,1,弹珠槽+3，回合结束时-1
136,蜂蜜罐,60,1036,2,18,1,关卡结束时留在弹珠槽里的每颗弹珠有概率给予1金币
137,折扣券,60,1037,2,15,0,碎片的售价有概率-1
138,珍贵硬币,60,1038,1,10,1,刷新的价格-1
139,玻璃球,70,1039,1,8,1,提高商店出售碎片的几率
140,美味糖果,0,1040,2,16,1,变形弹珠的伤害+1
